longitude,latitude
-43.4161,-20.3778
-43.5081,-20.2875
-43.4075,-20.0747
-43.4872,-19.9458
-43.6697,-19.88
-43.744722,-19.513611
-43.745,-19.5136
-43.7449989318848,-19.513599
-43.3764,-19.2156
-43.714166,-19.169166
-43.7144,-19.1689
-43.425,-19.0372
-43.6814,-18.8072
-43.3067,-18.4658
-43.6003,-18.2494
-43.3908,-18.0042
-44.18,-17.8733
-43.3089,-17.0647
-42.5397,-15.6097
-41.8114,-13.5789
-41.7728,-13.1519
-41.3708,-13.0053
-41.39,-12.5631
-43.7144,-19.1689
-43.474472,-20.106506
-43.618328,-19.349652
-43.618707,-19.327676